5,0.025
6,0.03
7,0.035
8,0.04
9,0.045
10,0.05
11,0.08
12,0.11
13,0.14
14,0.17
15,0.2
16,0.23
17,0.26
18,0.29
19,0.32
20,0.35
21,0.38
22,0.41
23,0.44
24,0.47
25,0.5
26,0.514
27,0.528
28,0.542
29,0.556
30,0.57
31,0.584
32,0.598
33,0.612
34,0.626
35,0.64
36,0.654
37,0.668
38,0.682
39,0.696
40,0.71
41,0.724
42,0.738
43,0.752
44,0.766
45,0.78
46,0.794
47,0.808
48,0.822
49,0.836
50,0.85
51,0.853
52,0.856
53,0.859
54,0.862
55,0.865
56,0.868
57,0.871
58,0.874
59,0.878
60,0.881
61,0.884
62,0.887
63,0.89
64,0.893
65,0.896
66,0.899
67,0.902
68,0.905
69,0.908
70,0.911
71,0.914
72,0.917
73,0.92
74,0.923
75,0.927
76,0.93
77,0.933
78,0.936
79,0.939
80,0.942
81,0.945
82,0.948
83,0.951
84,0.954
85,0.957
86,0.96
87,0.963
88,0.966
89,0.969
90,0.972
91,0.975
92,0.979
93,0.982
94,0.985
95,0.988
96,0.991
97,0.994
98,0.997
99,1
